0	208	259	185	184	156	148	199	163	258	313	249	202	225	219	274	212	205	126	234	207	250	275	274	177	206	264	230	185	162	195	227	235	259	226	224	189	296	226	292	175	249	146	195	157	274	219	141	220	204	190	236	177	246	284	236	307	162	182	241	265	276	232	201	296	292	203	205	333	204	289	227	339	230	207	218	286	147	239	176	231	293	154	195	209	280	258	203	276	234	235	251	214	188	252	137	259	255	210	228	180
1	110	116	110	103	96	94	96	96	111	95	112	107	100	97	117	82	107	102	95	83	94	103	108	84	105	101	94	92	94	104	102	114	94	92	120	97	93	119	90	90	122	91	93	79	104	114	94	112	109	115	84	102	104	91	93	100	115	107	109	90	88	98	112	97	102	95	98	96	84	90	107	87	81	98	110	114	98	104	120	87	109	94	95	95	97	108	95	96	104	88	101	95	106	109	91	89	101	90	94	102
2	57	49	47	47	73	62	64	67	60	32	62	63	53	66	54	49	73	45	54	77	50	58	41	55	58	50	57	73	78	55	58	44	61	59	47	61	50	69	43	71	52	57	59	55	39	57	65	49	52	40	70	53	66	55	48	47	61	57	55	54	54	61	47	51	48	58	50	32	43	46	55	47	35	73	61	37	54	64	76	54	45	60	66	63	49	50	60	54	61	69	42	59	55	42	76	46	66	72	62	68
3	36	24	45	37	38	45	36	43	24	18	28	29	38	34	25	31	42	34	42	36	35	20	25	40	45	31	43	33	40	43	37	40	27	24	28	37	29	30	30	35	25	42	32	38	28	39	53	40	34	41	41	37	33	30	36	24	44	54	28	30	35	39	41	22	24	32	38	17	38	25	38	14	40	32	39	25	37	35	43	41	18	33	38	36	21	27	32	26	22	31	41	34	35	34	38	23	29	36	30	30
4	22	11	29	24	31	36	25	24	12	16	16	20	20	20	16	31	19	25	19	26	18	17	20	16	30	9	22	23	32	18	30	17	17	23	27	28	11	11	19	20	16	31	36	38	19	15	27	17	29	29	22	31	16	15	24	9	24	25	18	18	18	24	28	14	12	16	31	8	27	16	20	5	28	13	23	19	26	15	20	32	12	27	34	27	15	21	26	8	18	34	16	24	22	19	25	15	14	33	18	28
5	15	14	19	21	15	21	23	22	15	5	13	19	15	18	3	21	15	25	12	16	15	7	10	20	11	15	19	22	20	21	11	14	9	10	6	17	6	10	7	20	10	22	17	24	8	15	28	27	16	20	8	16	10	7	23	7	21	21	16	19	8	9	21	9	9	20	11	8	23	10	18	2	21	19	14	7	24	14	15	14	6	19	14	19	18	10	24	8	13	11	9	15	22	8	23	12	13	12	14	12
6	11	8	9	12	13	23	8	15	8	10	6	12	12	2	5	13	12	18	16	7	10	5	3	19	3	10	8	14	11	20	16	12	10	13	9	17	6	9	8	15	8	14	12	15	9	7	16	9	14	11	9	13	6	8	11	1	16	15	8	5	9	8	10	3	3	13	11	2	12	7	9	3	12	12	10	1	20	9	8	12	5	21	6	15	5	5	5	9	14	4	9	9	9	10	23	7	5	11	14	12
7	5	4	10	12	18	11	9	15	3	2	3	9	6	8	2	9	6	12	6	13	8	8	6	15	6	3	5	12	12	8	6	4	6	12	7	12	2	5	3	11	4	18	10	15	3	7	13	5	6	9	9	11	5	2	11	2	8	6	5	9	2	4	8	0	3	11	10	1	13	9	3	2	11	14	8	3	16	6	10	3	5	18	7	6	4	6	9	4	9	5	5	7	12	2	17	12	3	6	11	15
8	6	1	7	8	7	6	4	5	2	4	3	10	4	8	1	9	1	20	0	5	5	1	3	13	9	7	3	12	14	3	3	4	4	7	7	11	2	0	4	15	5	16	10	13	5	5	12	2	5	8	6	8	5	2	3	0	6	6	6	6	4	3	11	2	1	9	10	1	10	2	7	0	11	7	4	2	12	3	6	6	1	7	8	3	4	5	8	7	5	2	4	9	7	6	12	3	4	6	6	4
9	1	0	6	5	9	6	10	7	0	2	1	5	3	8	0	9	3	6	3	10	3	1	0	8	6	6	2	7	9	12	1	2	3	6	4	6	0	5	1	9	1	11	7	12	3	5	9	4	5	2	3	8	3	1	4	1	4	7	2	1	1	6	1	2	1	5	5	1	7	1	3	0	7	6	1	1	10	3	6	3	1	11	9	5	2	3	5	4	2	5	5	9	9	4	7	4	3	4	8	12
