0	55	51	22	38	60	51	21	30	41	38	28	50	40	56	31	31	30	20	40	42	48	73	41	62	28	22	43	53	26	18	52	58	44	30	47	43	27	25	46	56	35	61	45	44	63	41	31	25	64	46	43	43	24	40	42	20	36	36	59	50	69	36	24	31	30	21	46	48	44	46	26	55	39	43	28	41	47	39	67	44	42	33	40	47	39	24	59	27	33	36	52	23	56	44	31	45	59	24	47	22
1	19	29	30	21	16	31	16	10	15	16	19	23	15	29	17	30	18	31	16	17	19	18	22	13	17	16	15	17	17	16	26	23	22	24	15	25	26	21	10	34	16	11	24	20	24	19	20	30	13	26	30	21	21	26	18	20	17	16	24	15	18	19	20	9	24	17	16	20	23	18	20	25	23	29	22	23	24	19	15	30	26	29	23	22	29	13	13	19	14	22	26	22	33	16	27	22	26	20	26	19
2	4	8	13	11	11	9	12	13	8	5	18	13	15	7	11	12	12	16	18	17	12	4	14	11	11	16	11	10	14	15	4	4	10	22	18	12	12	14	12	4	11	9	15	18	6	14	19	9	7	10	12	16	22	20	14	12	15	18	7	7	11	13	10	15	14	14	5	8	12	12	12	9	12	18	14	17	10	13	11	10	9	11	15	9	11	21	13	9	17	13	11	18	6	11	13	6	9	15	16	13
3	5	5	10	10	3	6	10	13	14	6	7	5	11	2	11	7	7	15	9	5	8	2	6	5	11	9	10	7	14	13	2	5	5	6	8	6	8	6	9	2	9	10	5	9	3	7	13	7	4	4	7	5	8	10	9	17	13	4	3	13	1	11	8	10	10	7	7	6	4	5	9	6	13	4	18	7	7	10	3	8	4	8	9	8	6	13	5	12	8	8	5	12	2	7	6	9	3	9	6	10
4	4	1	8	3	5	0	11	5	3	5	8	3	6	1	6	2	15	3	4	4	7	1	6	5	9	6	7	5	4	6	4	3	4	6	4	5	5	10	7	2	8	6	2	4	3	8	3	8	2	3	2	8	4	2	5	2	3	7	4	3	0	4	15	4	6	6	6	6	7	4	12	2	5	1	3	4	3	4	2	1	8	8	4	4	7	10	4	10	6	5	4	9	0	3	3	5	2	11	1	7
5	4	2	6	1	0	0	8	7	5	6	2	1	1	0	10	4	2	3	3	3	1	1	1	0	3	7	4	3	4	4	4	1	1	1	4	2	6	4	4	0	3	1	3	2	1	3	6	4	6	4	2	2	4	0	1	3	7	4	0	4	1	4	4	5	4	8	5	3	3	5	3	2	2	1	8	2	4	2	0	2	1	4	3	4	3	6	2	6	10	5	1	5	2	7	6	7	0	7	1	7
6	3	1	1	2	3	0	2	2	1	3	6	1	4	3	2	2	6	1	4	4	0	0	1	0	4	4	2	0	5	6	1	1	5	2	0	1	4	3	2	1	4	0	1	2	0	2	0	2	2	2	1	0	2	0	2	3	2	2	1	4	0	6	7	4	2	8	3	1	2	4	5	0	3	0	1	1	1	1	0	3	3	1	3	3	2	2	2	1	2	4	0	1	0	3	6	1	0	2	1	5
7	2	2	2	4	1	0	4	7	3	5	2	2	0	1	2	1	3	3	3	3	2	0	3	2	8	6	2	0	3	7	4	0	4	3	0	2	4	6	2	0	2	0	3	1	0	2	2	1	1	3	2	2	4	1	2	4	0	2	1	0	0	2	2	7	1	4	4	3	1	1	2	1	1	1	1	2	0	4	1	1	2	2	0	1	0	3	0	4	0	0	0	2	0	1	0	1	0	5	1	4
8	1	0	2	3	1	1	2	4	1	3	2	0	3	0	3	5	3	2	1	0	2	1	1	1	2	3	0	2	1	1	0	2	3	2	1	1	3	0	2	1	1	1	0	0	0	0	2	2	0	0	0	1	3	0	0	2	1	2	0	2	0	0	0	4	1	3	3	0	0	2	3	0	1	1	0	0	1	2	0	0	0	0	0	0	0	2	2	1	1	2	1	3	0	1	2	1	0	0	0	4
9	0	0	1	2	0	1	3	3	1	2	1	0	3	0	0	2	0	1	0	1	0	0	1	0	2	3	1	1	3	4	0	2	1	0	0	1	1	2	1	0	4	0	1	0	0	0	0	6	0	0	0	1	2	0	2	4	4	1	0	1	0	1	3	1	1	0	0	2	0	0	3	0	0	1	1	0	1	1	0	1	1	0	0	1	0	2	0	0	3	2	0	1	0	2	2	0	0	2	0	1
10	0	0	0	2	0	0	0	0	1	3	3	0	0	1	2	1	1	1	0	2	1	0	4	1	1	4	2	0	4	1	1	0	1	4	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	3	0	1	1	0	0	0	0	1	1	3	1	0	1	1	1	0	1	1	1	1	2	0	0	0	1	0	1	0	1	0	0	4	1	0	0	0	1	2	1	0	0	1	0	3
11	1	0	1	0	0	1	1	1	2	2	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	3	0	1	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	2	0	0	0	1	1	1	2	1	0	2	0	0	0	2	2	1	0	3	0	1	1	0	0	0	0	0	1	0	0	2	1	0	0	2	1	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	1
